epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.001,1.69594,3.5939,1.25431,0.26001,0.85217,0.67528,0.32952,1.14763,3.82674,0.95258,0.000650794,0.000650794,0.000650794
2,415.04,1.45036,2.57997,1.16977,0.86299,0.54773,0.83021,0.50839,1.19901,2.89466,1.00185,0.00118703,0.00118703,0.00118703
3,606.411,1.47962,2.17412,1.18738,0.78224,0.7913,0.80725,0.45387,1.31577,2.1058,1.08656,0.00159127,0.00159127,0.00159127
4,791.715,1.36697,1.88183,1.1744,0.87278,0.83517,0.9026,0.57803,1.21719,1.61528,1.0487,0.001406,0.001406,0.001406
5,1012.75,1.37299,1.63348,1.19326,0.8797,0.82609,0.91295,0.57922,1.19698,1.41407,1.02983,0.001208,0.001208,0.001208
6,1243.25,1.32181,1.46117,1.16312,0.89325,0.93913,0.95755,0.61843,1.17961,1.18103,1.02377,0.00101,0.00101,0.00101
7,1440.97,1.23185,1.28779,1.10759,0.92749,0.88988,0.94541,0.64966,1.10421,1.13395,0.98922,0.000812,0.000812,0.000812
8,1629.75,1.21142,1.23114,1.10527,0.91865,0.89565,0.96087,0.67494,1.01581,1.07311,0.94449,0.000614,0.000614,0.000614
9,1810.54,1.17551,1.17444,1.07192,0.87867,0.93043,0.95828,0.69573,0.9762,1.00684,0.93247,0.000416,0.000416,0.000416
10,1990.59,1.10349,1.08714,1.04249,0.91367,0.92174,0.95261,0.69126,0.93697,0.9447,0.91777,0.000218,0.000218,0.000218
