epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.391,1.78272,3.81143,1.41912,0.80727,0.2087,0.49902,0.19211,1.49126,3.96792,1.12509,0.000650794,0.000650794,0.000650794
2,422.042,1.7367,3.05033,1.38971,0.40065,0.49565,0.38831,0.15526,1.438,3.1305,1.12451,0.00118703,0.00118703,0.00118703
3,607.795,1.64984,2.61018,1.36589,0.80325,0.72174,0.81599,0.46307,1.38507,2.10417,1.11948,0.00159127,0.00159127,0.00159127
4,15844,1.69721,2.29618,1.39534,0.75201,0.79106,0.78807,0.39356,1.54483,2.21406,1.22698,0.001406,0.001406,0.001406
5,16083.8,1.6101,1.97661,1.33776,0.75471,0.72239,0.7765,0.44628,1.41935,2.04787,1.24351,0.001208,0.001208,0.001208
6,16338.5,1.58348,1.77388,1.3289,0.82159,0.82609,0.89445,0.56791,1.20986,1.85527,1.05577,0.00101,0.00101,0.00101
7,16564.6,1.57797,1.66745,1.36406,0.87102,0.90435,0.90585,0.56026,1.23409,1.42403,1.04242,0.000812,0.000812,0.000812
8,16789.2,1.52007,1.56431,1.30046,0.80478,0.85217,0.90028,0.58883,1.16923,1.2585,1.01168,0.000614,0.000614,0.000614
9,17018.6,1.40723,1.47871,1.22592,0.85936,0.90324,0.91699,0.58898,1.2274,1.15305,1.01737,0.000416,0.000416,0.000416
10,17316.1,1.41105,1.41677,1.26369,0.84753,0.87826,0.92222,0.62506,1.11406,1.15161,0.98704,0.000218,0.000218,0.000218
