epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,598.391,1.58167,3.44368,1.18764,0.38916,0.95652,0.72831,0.36059,1.21965,3.84336,0.94696,0.000650794,0.000650794,0.000650794
2,778.278,1.34113,2.47598,1.07339,0.66055,0.73043,0.7335,0.39069,1.27435,2.68831,1.00447,0.00118703,0.00118703,0.00118703
3,971.953,1.31154,2.09136,1.07279,0.81404,0.8087,0.8772,0.44389,1.40559,2.03142,1.04243,0.00159127,0.00159127,0.00159127
4,1159.73,1.32889,1.79484,1.06179,0.85449,0.86087,0.90634,0.57918,1.16152,1.52245,0.95907,0.001406,0.001406,0.001406
5,1346.24,1.23795,1.52345,1.03923,0.85973,0.88696,0.90717,0.5627,1.22696,1.4561,0.97856,0.001208,0.001208,0.001208
6,1533.6,1.18212,1.38519,1.02181,0.86822,0.85936,0.94534,0.64018,1.04977,1.28209,0.91111,0.00101,0.00101,0.00101
7,1715.94,1.12509,1.24049,0.99023,0.90879,0.89565,0.96276,0.65262,1.04056,1.13369,0.91047,0.000812,0.000812,0.000812
8,1905.48,1.12694,1.13504,0.98791,0.90865,0.92174,0.96711,0.6828,0.98679,1.03667,0.90168,0.000614,0.000614,0.000614
9,2099.18,1.0724,1.09001,0.96301,0.88963,0.91123,0.95614,0.68048,1.02505,1.03151,0.90128,0.000416,0.000416,0.000416
10,2285.37,0.99357,1.00805,0.94687,0.9113,0.93043,0.9551,0.70214,0.94406,0.97359,0.88056,0.000218,0.000218,0.000218
